sep=	
sintomas	estou com corona	
sintomas	como saber se estou com corona	
sintomas	quais são os sintomas	
sintomas	tenho febre tosse seca coriza falra de ar fadiga dor no corpo dor de cabeça perda de olfato perda de paladar nariz escorrendo diarreia cansaço fadiga posso estar com corona	
sintomas	como sei que estou infectado	
sintomas	quero saber se estou com covid-19 corona virus	
sintomas	não estou me sentindo muito bem	
sintomas	tive um mal estar quero saber se é por conta do virus	
sintomas	posso está em contato com o virus	
sintomas	febre tosse seca coriza falra de ar fadiga dor no corpo dor de cabeça perda de olfato perda de paladar nariz escorrendo diarreia cansaço fadiga	
sintomas	estou com febre tosse seca coriza falta de ar fadiga dor no corpo dor de cabeça perda de olfato perda de paladar nariz escorrendo diarreia cansaço fadiga posso estar infectado	
saudacao	boa tarde	
saudacao	e ai beleza blz	
saudacao	boa noite	
saudacao	oi tudo bem	
saudacao	olá como voce está	
saudacao	opa tudo certo	
saudacao	como tá as coisas ai	
saudacao	olá tudo bom	
saudacao	tudo ok por ai	
saudacao	bom dia	
prevencao	posso sair de casa quando quiser	
prevencao	estou com medo desse covid corona vírus	
prevencao	dicas de prevenção	
prevencao	como parar a transmissão	
prevencao	tive contato com alguém que teve o covid corona vírus	
prevencao	posso saber como não me contaminar	
prevencao	quero evitar o covid corona vírus	
prevencao	quero me proteger desse vírus	
prevencao	como posso me prevenir	
prevencao	proteger evitar prevenir	
prevencao	como evitar o contagio	
prevencao	não quero pegar o corona covid	
negar-encerrar	não aceito	
negar-encerrar	mais tarde eu falo	
negar-encerrar	agora não posso falar	
negar-encerrar	negado	
negar-encerrar	não concordo	
negar-encerrar	não quero mais falar	
negar-encerrar	saindo agora	
negar-encerrar	quero sair	
negar-encerrar	deixar a conversa	
negar-encerrar	encerrar o contato	
negar-encerrar	desculpe tenho que ir	
incerteza	estou indeciso	
incerteza	não entendi direito	
incerteza	estou meio confuso	
incerteza	tenho muitas duvidas	
incerteza	queria saber mais	
incerteza	não tenho certeza	
incerteza	ainda não esta claro	
incerteza	esta faltando alguma coisa	
incerteza	não me explicou diretito	
incerteza	não sei	
faq	o que é covid-19	
faq	pode me responder perguntas sobre o vírus	
faq	quero informações sobre o corona virus	
faq	quero saber sobre o novo vírus	
faq	o que é uma pandemia epidemia	
faq	qual a origem do corona vírus	
faq	de onde veio o corona vírus covid	
faq	quero saber mais	
faq	tenho duvidas sobre o novo corona vírus	
faq	o que é corona virus	
diagnostico	como saber se uma pessoa está com o corona	
diagnostico	pre diagnostico consulta grupo de risco	
diagnostico	quando devo procurar atendimento	
diagnostico	posso saber se tenho suspeita de corona covid	
diagnostico	quero saber se tenho suspeita do corona covid	
diagnostico	tive contato com uma pessoa infectada contaminada estou doente	
diagnostico	como saber se sou do grupo de risco	
diagnostico	quais são os fatores de risco	
diagnostico	quero fazer uma consulta	
diagnostico	como é feito o diagnostico	
contagio	como o corona é transmitido	
contagio	não quero ser contagiado por esse corona vírus	
contagio	se eu tive contato com a pessoa contaminada posso pegar o corona	
contagio	quais são as formas ou maneiras de contagio	
contagio	como evitar o contagio da doença	
contagio	o que fazer para não passar o corona	
contagio	qual o tempo de incubação do vírus	
contagio	quanto tempo o corona pode ficar vivo	
contagio	falar perto das pessoas ter contato físico pode passar o vírus	
contagio	posso pegar o covid corona vírus	
confirmar	sim estou de acordo	
confirmar	ok sim claro com certeza de acordo concordo beleza	
confirmar	concordo com o que está dizendo	
confirmar	quero sim pode fazer	
confirmar	aceito concerteza	
confirmar	sim pode	
confirmar	beleza continue assim	
confirmar	claro que sim	
confirmar	está certo	
confirmar	ok pode continuar	
casos-no-brasil	quantos casos existem no brasil	
casos-no-brasil	quero saber os casos por estado	
casos-no-brasil	quero saber sobre o covid no brasil	
casos-no-brasil	o brasil é o centro da pandemia	
casos-no-brasil	casos de corona no brasil	
casos-no-brasil	numero de casos hoje brasil	
casos-no-brasil	pandemia no brasil hoje	
casos-no-brasil	quantos casos há no brasil	
casos-no-brasil	quais são os casos no brasil	
casos-no-brasil	quantos mortos tem no brasil	
