sep=	
VerMenu	quais são os sabores de pizza	
VerMenu	me mande o cardapio	
VerMenu	quero ver o cardapio	
VerMenu	o que tem para hoje	
VerMenu	quero escolher uma pizza	
VerMenu	tamanhos de pizza	
VerEndereco	onde fica a pizzaria	
VerEndereco	como faço para retirar o pedido	
VerEndereco	vou retirar o pedido ai onde fica	
VerEndereco	em qual bairro fica	
VerEndereco	qual o endereço de vocês	
VerEndereco	em qual rua fica	
Saudacao	posso ser atendido	
Saudacao	oi	
Saudacao	ola tudo bem com voce	
Saudacao	boa noite	
Saudacao	boa tarde	
Saudacao	bom dia	
Saudacao	Olá	
RetirarPedido	vou retirar na pizzaria	
RetirarPedido	retirada	
RetirarPedido	vou pegar na loja	
RetirarPedido	retirar	
RetirarPedido	vou retirar	
RetirarPedido	vou buscar na pizzaria	
RetirarPedido	vou buscar ai	
receberPedido	quero receber o pedido	
receberPedido	é para entrega	
receberPedido	entregar em casa	
receberPedido	delivery	
receberPedido	podem entregra em casa	
receberPedido	receber na minha casa	
receberPedido	entregar	
receberPedido	entrega	
FazerPedido	pedido para entrega	
FazerPedido	pedido para retirada	
FazerPedido	queri pedir para entrega	
FazerPedido	Comprar um pizza	
FazerPedido	pedir uma pizza	
FazerPedido	desejo realizar um pedido	
FazerPedido	Quero fazer um pedido	
FazerPedido	quero uma pizza	
FazerPedido	pode anotar meu pedido	
ConsultarPreco	quero ver as promoções	
ConsultarPreco	valores das pizzas	
ConsultarPreco	quais os tamanhos	
ConsultarPreco	gostaria de ver os preços	
ConsultarPreco	formas de pagamento	
ConsultarPreco	valor da entrega	
AbortarConversa	depois eu entro em contato	
AbortarConversa	cancelar conversa	
AbortarConversa	sair	
AbortarConversa	obrigado pelas informações até logo	
AbortarConversa	podemos conversar depois	
AbortarConversa	não quero mais pedir	
AbortarConversa	voltar	
AbortarConversa	não quero mais falar	
AbortarConversa	vou pedir depois	
